25 21
#############
#...........#    ########
#...s...s...######......#
#....................o..#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ###d##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #..c...#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ###e##
  #########        ####
